"Nom de la paire","Early wallet"
"#1/SPARTA","0x39120713d627e794dbdc61f96cfeca88b7c50c02"
"#2/DROP","0x39120713d627e794dbdc61f96cfeca88b7c50c02"
"#3/GND","0x39120713d627e794dbdc61f96cfeca88b7c50c02"
"#4/DROP","0x87e9fea0a936a9f3cf0d31d23e0aaee9f0d2f231"
"#5/ARBI","0x39120713d627e794dbdc61f96cfeca88b7c50c02"
"#6/PEPEX","0x00000b827ad1750618cc47df895beaa1e1a1d6eb"
"#6/PEPEX","0x0000358ea846b7b5611aff8719d18141eba5aaf5"
"#7/OPENAI","0x8a663220bc61fe268c215c7f43df2a5c7f32f863"
"#7/OPENAI","0xf1c8d6d257d8ff9fab5e0d6a62aef4fb8c60db07"
"#7/OPENAI","0xa3a441a036a64a33944fb8965153ca90ff983853"
"#7/OPENAI","0x354123f4dea3b216ebce3ab1b11ebff525de7c18"
"#8/AICODE","0x39120713d627e794dbdc61f96cfeca88b7c50c02"
"#9/NGT","0xf5262b7050f25b80ae6aed647ba824906b821d39"
"#10/AGI","0x4ac486ad8241cd0ed5defab6b8fafb99e8e99d1d"
"#10/AGI","0x8b4514f98e7c7727617ebb19d5847633fd839f45"
"#11/PENDLE","0x6449270bf9f6a50651e22c5d297527ed640ad4e8"
"#11/PENDLE","0x63f6d9e7d3953106bcaf98832bd9c88a54afcc9d"
"#11/PENDLE","0xfbb531074e08cb107f5ce5c69b507cb826404ffe"
"#12/GND","0xd70811f1e4992aa051d54e29a04c8925b32fba7d"
"#12/GND","0xe29a293809b4f212fa6a880df7d9773926f40ac4"
"#13/GND","0xd70811f1e4992aa051d54e29a04c8925b32fba7d"
"#13/GND","0xe29a293809b4f212fa6a880df7d9773926f40ac4"
"#14/STG","0x67fc8c432448f9a8d541c17579ef7a142378d5ad"
"#14/STG","0x2820a2b534ec948412699074389edf8aab88ad30"
"#15/GRAIL","0x01bb7b44cc398aaa2b76ac6253f0f5634279db9d"
"#16/STG","0x1d7c6783328c145393e84fb47a7f7c548f5ee28d"
"#17/V3","0xbb1a241dcbd6a3894cb61f659034874dc9cf65d4"
"#17/V3","0x4bd047ca72fa05f0b89ad08fe5ba5ccdc07dffbf"
"#17/V3","0x0aa354a392745bc5f63ff8866261e8b6647002df"
"#18/USDT","0x341a38b69a6b8f00fad4eed3a2b8528e3fed07ff"
"#18/USDT","0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68"
"#18/USDT","0x3be057bbaf734770c8a4ca81e2abbdc29deb39f0"
"#19/V2","0x341a38b69a6b8f00fad4eed3a2b8528e3fed07ff"
"#19/V2","0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68"
"#19/V2","0x3be057bbaf734770c8a4ca81e2abbdc29deb39f0"
"#20/USDT","0x341a38b69a6b8f00fad4eed3a2b8528e3fed07ff"
"#20/USDT","0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68"
"#20/USDT","0x3be057bbaf734770c8a4ca81e2abbdc29deb39f0"
"#21/V3","0xbb1a241dcbd6a3894cb61f659034874dc9cf65d4"
"#21/V3","0x4bd047ca72fa05f0b89ad08fe5ba5ccdc07dffbf"
"#21/V3","0x0aa354a392745bc5f63ff8866261e8b6647002df"
"#22/USDT","0x341a38b69a6b8f00fad4eed3a2b8528e3fed07ff"
"#22/USDT","0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68"
"#22/USDT","0x3be057bbaf734770c8a4ca81e2abbdc29deb39f0"
"#23/DAI","0x075da589886ba445d7c7e81c472059de7ae65250"
"#23/DAI","0x6e48fe88ca3a52a7459e3643e26275b591a01584"
"#23/DAI","0x2a6303e6b99d451df3566068ebb110708335658f"
"#24/DAI","0x075da589886ba445d7c7e81c472059de7ae65250"
"#24/DAI","0x6e48fe88ca3a52a7459e3643e26275b591a01584"
"#24/DAI","0x2a6303e6b99d451df3566068ebb110708335658f"
"#25/USDs","0x42d2f9f84eeb86574aa4e9fcccfd74066d809600"
"#25/USDs","0xc28c6970d8a345988e8335b1c229dea3c802e0a6"
"#25/USDs","0x52510c2c16e490ba13f1c9a247e2dd2e6b64fb3b"
"#25/USDs","0xeb808953d4dd394861d6bea10927088a55d8f9a6"
