"token","address","balance"
"$MONG/WETH","0xd972f93138cbc0a9d97a283213a02950dcb56177",47610000000000
"$MONG/WETH","0x771deaff999f6355494861c2b761e54fee46afb3",33810000000004
"$MONG/WETH","0xe957c3dd59f248a0c8e1121af912f72a37de15af",28980000000000
"$MONG/WETH","0xa145f17b4705b164bd39e1acdbeb6dbc859be668",28059560801426.34
"$MONG/WETH","0x7054b0f980a7eb5b3a6b3446f3c947d80162775c",22298503254694.32
"NPEPE/WETH","0xbce4ab4916ded41d70568cc019c92d90c3a9dc3b",23824117722.418613
"NPEPE/WETH","0xbc33bda38fe8382053b2fbc2e8b511497baf2d10",4849964610.055842
"NPEPE/WETH","0x01ca5b63605d47890c81a5b876be72e83c38807f",4779241049.202931
"NPEPE/WETH","0x2c7e40c82ab0cfc63f2478cf398970640f1fcf70",4418892843.876251
"NPEPE/WETH","0xde4ba164e6b69951d60c975507009dab59fb7119",4330609895.314766
"TEPE/WETH","0x0a0d32ca49556db7b02d9a87bf5ed27b28e5bfca",6100616603.01647
"TEPE/WETH","0x7380510d0918793a6d3697919e0a46342ef85502",3450000000
"TEPE/WETH","0xda7801d6dc57f1f450f656d8c4768e9d82bc8eb7",1379999999
"TEPE/WETH","0x1160abfc3b6ea81a83f7f2d546dbca783f379536",1379999999
"TEPE/WETH","0xb6dc3d5f6baa7edfbbb7f5f16342b331942a3c7f",1379999999
"DERP/WETH","0x21aa916eaee238b5cfdaed194dcdf18f6759126e",80004229688557.9
"DERP/WETH","0xd60f1091e7847e68e088e18e481b2d59cf7af637",19430291734728.902
"DERP/WETH","0x813c89894ccedd174353b959ba068ced96f19005",19331384308581
"DERP/WETH","0x8eca675e2c3a6a36c29e8572488c3fb9b4a7042b",19289629983369
"DERP/WETH","0x6c03db1deab630c923cdf35715793e1cb3bab578",18794187713159
"DUCKER/WETH","0xf6da302d0f5aeeebc3c54384f651172acc50218f",9320302309.61015
"DUCKER/WETH","0xb7d9934c9e12f02afacdda9e11c09231ec981962",4165254660.42
"DUCKER/WETH","0x982d0ef9626af04ad31e657c8be8f4ca43a642cb",3123940995.315
"DUCKER/WETH","0x288fc094e56176780741d4da8e9a3384a1d5a4b2",1387100000
"DUCKER/WETH","0x616666c66f328bea14e3d7150b61d21710962328",1380400000
